# ./go_flow.d -p 16727
CPU    PID  DELTA(us)          PACKAGE FUNCTION
  7  40148         14             main -> .processreq
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
 13  40148      10046          runtime       <- .asmsysvicall6
 13  40148         20          runtime     <- .asmcgocall
 13  40148         15          runtime   <- .sysvicall6
  7  40148         18      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         14             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         21          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         13              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         15               os         -> .(*File).write
  7  40148         14          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         13          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         15          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         14          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         21          runtime                     <- .asmsysvicall6
